Date,Transaction Type,Vch No,Ref No,Reference Type,Reference Date,Debtor,Reference Amount,Amount,Particulars,Vch Type,Amount Verified
20200701,Child,ESSI2021056,ESSI2021056,New Ref,,E-NOREN CYCLES N OUTDOOR SPORTS,-3439.0,NA,E-NOREN CYCLES N OUTDOOR SPORTS,Receipt,NO
20200701,Parent,ESSI2021056,NA,NA,,E-NOREN CYCLES N OUTDOOR SPORTS,NA,0,E-NOREN CYCLES N OUTDOOR SPORTS,Receipt,NO
20200701,Parent,ESSI2021057,NA,NA,NA,E-Shah Bikes,NA,0,E-Shah Bikes,Receipt,NO
20200701,Child,170,BTS/T1594/20-21,New Ref,,BTS TELECOM PVT LTD,236.0,NA,BTS TELECOM PVT LTD,Receipt,NO
20200701,Parent,170,NA,NA,,BTS TELECOM PVT LTD,NA,236.0,BTS TELECOM PVT LTD,Receipt,YES
20200701,Child,171,BTS/1504/20-21,New Ref,,BTS TELECOM PVT LTD,1770.0,NA,BTS TELECOM PVT LTD,Receipt,NO
20200701,Parent,171,NA,NA,,BTS TELECOM PVT LTD,NA,1770.0,BTS TELECOM PVT LTD,Receipt,YES
20200701,Child,173,185050781,New Ref,,Torrent Power Ltd,2760.0,NA,Torrent Power Ltd,Receipt,NO
20200701,Parent,173,NA,NA,,Torrent Power Ltd,NA,2760.0,Torrent Power Ltd,Receipt,YES
20200701,Child,174,185050781,Agst Ref,,Torrent Power Ltd,-2760.0,NA,Torrent Power Ltd,Receipt,NO
20200701,Child,174,185050781,New Ref,,Company Credit Card ICICI JS,2785.94,NA,Company Credit Card ICICI JS,Receipt,NO
20200701,Parent,174,NA,NA,,Torrent Power Ltd,NA,2785.94,Torrent Power Ltd,Receipt,YES
20200701,Child,175,5ed4614add8cd10bdd1b2a7e,New Ref,,Mongo DB Cloud,11486.29,NA,Mongo DB Cloud,Receipt,NO
20200701,Parent,175,NA,NA,,Mongo DB Cloud,NA,11486.29,Mongo DB Cloud,Receipt,YES
